Male,Mytishchi,63863.08984375,63863.08984375,63863.09,63863.09
Male,Pedra,73921.328125,73921.328125,73921.33,73921.33
Female,Dhaka,68368.546875,68368.546875,68368.55,68368.55
Male,Mosteiros,62508.87109375,62508.87109375,62508.87,62508.87
Male,Roanne,93339.9921875,93339.9921875,93339.99,93339.99
Female,Eindhoven,24042.099609375,24042.099609375,24042.1,24042.1
Female,Sanzao,70049.46875,70049.46875,70049.47,70049.47
Female,Santa Rosa,47887.0703125,47887.0703125,47887.07,47887.07
Male,Rongxing,36273.80078125,36273.80078125,36273.8,36273.8
Male,Tangkou,85083.3984375,85083.3984375,85083.4,85083.4
