Male,Rosso,36879.44140625,36879.44140625,36879.44,36879.44
Female,Mariano Moreno,11376.580078125,11376.580078125,11376.58,11376.58
Male,Caen,81237.2109375,81237.2109375,81237.21,81237.21
Female,Pysznica,31466.580078125,31466.580078125,31466.58,31466.58
Female,Dschang,39262.9609375,39262.9609375,39262.96,39262.96
Male,Kamālia,46879.328125,46879.328125,46879.33,46879.33
Male,Atlanta,25929.9296875,25929.9296875,25929.93,25929.93
Female,Kęty,44224.8984375,44224.8984375,44224.9,44224.9
Female,Karma,27633.30078125,27633.30078125,27633.3,27633.3
Male,Habingkloang,56892.96875,56892.96875,56892.97,56892.97
Female,Yuncheng,17959.150390625,17959.150390625,17959.15,17959.15
Male,Shuangjiang,29673.009765625,29673.009765625,29673.01,29673.01
