Female,Wojcieszków,18163.55078125,18163.55078125,18163.55,18163.55
Male,Kizlyar,69030.34375,69030.34375,69030.34,69030.34
Male,Kastornoye,23794.1796875,23794.1796875,23794.18,23794.18
Female,Getengan,23843.060546875,23843.060546875,23843.06,23843.06
Male,Tomsk,16504.220703125,16504.220703125,16504.22,16504.22
Male,Zhuanqukou,36208.1796875,36208.1796875,36208.18,36208.18
Female,Schiedam postbusnummers,59352.01953125,59352.01953125,59352.02,59352.02
Female,Glatik,19941.029296875,19941.029296875,19941.03,19941.03
Female,Fosca,89451.1328125,89451.1328125,89451.13,89451.13
Male,Koygorodok,52016.98828125,52016.98828125,52016.99,52016.99
