Male,Asahi,22727.94921875,22727.94921875,22727.95,22727.95
Male,Warmare,90661.4609375,90661.4609375,90661.46,90661.46
Male,Chorente,27607.599609375,27607.599609375,27607.6,27607.6
Male,West Jerusalem,71282.2890625,71282.2890625,71282.29,71282.29
Male,Puutuga,19122.990234375,19122.990234375,19122.99,19122.99
Male,Gaspar Hernández,26604.380859375,26604.380859375,26604.38,26604.38
Male,Velyka Lepetykha,66552.3203125,66552.3203125,66552.32,66552.32
Male,Jetafe,45643.01953125,45643.01953125,45643.02,45643.02
Female,Copán,110448.125,55224.0625,40069.9,70378.23
Female,Tlatah,53573.19140625,53573.19140625,53573.19,53573.19
